lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form,Fold,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
siitä,ei siitä,V;PASS;PRS;NEG;IND,0.0,7.653548387096775e-05,e i̯ s iː t æ,1,V,PASS,PRS,NEG,IND,,,,,
siitä,on siitty,V;PASS;PRS;PRF;POS;IND,0.0,7.653548387096775e-05,o n s iː tː y,3,V,PASS,PRS,PRF,POS,IND,,,,
siitä,ei ole siitty,V;PASS;PRS;PRF;NEG;IND,0.0,7.653548387096775e-05,e i̯ o l eˣ s iː tː y,4,V,PASS,PRS,PRF,NEG,IND,,,,
siitä,sikisin,V;ACT;PST;POS;IND;1;SG,0.0,7.653548387096775e-05,s i k i s i n,1,V,ACT,PST,POS,IND,1,SG,,,
siitä,en siinnyt,V;ACT;PST;NEG;IND;1;SG,0.0,7.653548387096775e-05,e n s iː nː y t,4,V,ACT,PST,NEG,IND,1,SG,,,
siitä,olin siinnyt,V;ACT;PST;PRF;POS;IND;1;SG,0.0,7.653548387096775e-05,o l i n s iː nː y t,4,V,ACT,PST,PRF,POS,IND,1,SG,,
siitä,en ollut siinnyt,V;ACT;PST;PRF;NEG;IND;1;SG,0.0,7.653548387096775e-05,e n o lː u t s iː nː y t,4,V,ACT,PST,PRF,NEG,IND,1,SG,,
siitä,sikisit,V;ACT;PST;POS;IND;2;SG,0.0,7.653548387096775e-05,s i k i s i t,1,V,ACT,PST,POS,IND,2,SG,,,
siitä,et siinnyt,V;ACT;PST;NEG;IND;2;SG,0.0,7.653548387096775e-05,e t s iː nː y t,2,V,ACT,PST,NEG,IND,2,SG,,,
siitä,olit siinnyt,V;ACT;PST;PRF;POS;IND;2;SG,0.0,7.653548387096775e-05,o l i t s iː nː y t,1,V,ACT,PST,PRF,POS,IND,2,SG,,
siitä,et ollut siinnyt,V;ACT;PST;PRF;NEG;IND;2;SG,0.0,7.653548387096775e-05,e t o lː u t s iː nː y t,0,V,ACT,PST,PRF,NEG,IND,2,SG,,
siitä,sikisi,V;ACT;PST;POS;IND;3;SG,4e-06,7.653548387096775e-05,s i k i s i,1,V,ACT,PST,POS,IND,3,SG,,,
siitä,ei siinnyt,V;ACT;PST;NEG;IND;3;SG,0.0,7.653548387096775e-05,e i̯ s iː nː y t,3,V,ACT,PST,NEG,IND,3,SG,,,
siitä,oli siinnyt,V;ACT;PST;PRF;POS;IND;3;SG,0.0,7.653548387096775e-05,o l i s iː nː y t,0,V,ACT,PST,PRF,POS,IND,3,SG,,
siitä,ei ollut siinnyt,V;ACT;PST;PRF;NEG;IND;3;SG,0.0,7.653548387096775e-05,e i̯ o lː u t s iː nː y t,1,V,ACT,PST,PRF,NEG,IND,3,SG,,
siitä,sikisimme,V;ACT;PST;POS;IND;1;PL,0.0,7.653548387096775e-05,s i k i s i mː e,1,V,ACT,PST,POS,IND,1,PL,,,
siitä,emme siinneet,V;ACT;PST;NEG;IND;1;PL,0.0,7.653548387096775e-05,e mː eˣ s iː nː eː t,3,V,ACT,PST,NEG,IND,1,PL,,,
siitä,olimme siinneet,V;ACT;PST;PRF;POS;IND;1;PL,0.0,7.653548387096775e-05,o l i mː eˣ s iː nː eː t,4,V,ACT,PST,PRF,POS,IND,1,PL,,
siitä,emme olleet siinneet,V;ACT;PST;PRF;NEG;IND;1;PL,0.0,7.653548387096775e-05,e mː e o lː eː t s iː nː eː t,1,V,ACT,PST,PRF,NEG,IND,1,PL,,
siitä,sikisitte,V;ACT;PST;POS;IND;2;PL,0.0,7.653548387096775e-05,s i k i s i tː eˣ,0,V,ACT,PST,POS,IND,2,PL,,,
siitä,ette siinneet,V;ACT;PST;NEG;IND;2;PL,0.0,7.653548387096775e-05,e tː e s iː nː eː t,0,V,ACT,PST,NEG,IND,2,PL,,,
siitä,olitte siinneet,V;ACT;PST;PRF;POS;IND;2;PL,0.0,7.653548387096775e-05,o l i tː eˣ s iː nː eː t,1,V,ACT,PST,PRF,POS,IND,2,PL,,
siitä,ette olleet siinneet,V;ACT;PST;PRF;NEG;IND;2;PL,0.0,7.653548387096775e-05,e tː e o lː eː t s iː nː eː t,3,V,ACT,PST,PRF,NEG,IND,2,PL,,
siitä,sikisivät,V;ACT;PST;POS;IND;3;PL,1e-06,7.653548387096775e-05,s i k i s i ʋ æ t,1,V,ACT,PST,POS,IND,3,PL,,,
siitä,eivät siinneet,V;ACT;PST;NEG;IND;3;PL,0.0,7.653548387096775e-05,e i̯ ʋ æ t s iː nː eː t,3,V,ACT,PST,NEG,IND,3,PL,,,
siitä,olivat siinneet,V;ACT;PST;PRF;POS;IND;3;PL,0.0,7.653548387096775e-05,o l i ʋ ɑ t s iː nː eː t,1,V,ACT,PST,PRF,POS,IND,3,PL,,
siitä,eivät olleet siinneet,V;ACT;PST;PRF;NEG;IND;3;PL,0.0,7.653548387096775e-05,e i̯ ʋ æ t o lː eː t s iː nː eː t,4,V,ACT,PST,PRF,NEG,IND,3,PL,,
siitä,siittiin,V;PASS;PST;POS;IND,0.0,7.653548387096775e-05,s iː tː iː n,4,V,PASS,PST,POS,IND,,,,,
siitä,ei siitty,V;PASS;PST;NEG;IND,0.0,7.653548387096775e-05,e i̯ s iː tː y,4,V,PASS,PST,NEG,IND,,,,,
siitä,oli siitty,V;PASS;PST;PRF;POS;IND,0.0,7.653548387096775e-05,o l i s iː tː y,2,V,PASS,PST,PRF,POS,IND,,,,
siitä,ei ollut siitty,V;PASS;PST;PRF;NEG;IND,0.0,7.653548387096775e-05,e i̯ o lː u t s iː tː y,2,V,PASS,PST,PRF,NEG,IND,,,,
siitä,sikiäisin,V;ACT;PRS;POS;COND;1;SG,0.0,7.653548387096775e-05,s i k i æ i̯ s i n,4,V,ACT,PRS,POS,COND,1,SG,,,
siitä,en sikiäisi,V;ACT;PRS;NEG;COND;1;SG,0.0,7.653548387096775e-05,e n s i k i æ i̯ s i,1,V,ACT,PRS,NEG,COND,1,SG,,,
siitä,olisin siinnyt,V;ACT;PRS;PRF;POS;COND;1;SG,0.0,7.653548387096775e-05,o l i s i n s iː nː y t,0,V,ACT,PRS,PRF,POS,COND,1,SG,,
siitä,en olisi siinnyt,V;ACT;PRS;PRF;NEG;COND;1;SG,0.0,7.653548387096775e-05,e n o l i s i s iː nː y t,4,V,ACT,PRS,PRF,NEG,COND,1,SG,,
siitä,sikiäisit,V;ACT;PRS;POS;COND;2;SG,0.0,7.653548387096775e-05,s i k i æ i̯ s i t,1,V,ACT,PRS,POS,COND,2,SG,,,
siitä,et sikiäisi,V;ACT;PRS;NEG;COND;2;SG,0.0,7.653548387096775e-05,e t s i k i æ i̯ s i,4,V,ACT,PRS,NEG,COND,2,SG,,,
siitä,olisit siinnyt,V;ACT;PRS;PRF;POS;COND;2;SG,0.0,7.653548387096775e-05,o l i s i t s iː nː y t,1,V,ACT,PRS,PRF,POS,COND,2,SG,,
siitä,et olisi siinnyt,V;ACT;PRS;PRF;NEG;COND;2;SG,0.0,7.653548387096775e-05,e t o l i s i s iː nː y t,0,V,ACT,PRS,PRF,NEG,COND,2,SG,,
siitä,sikiäisi,V;ACT;PRS;POS;COND;3;SG,0.0,7.653548387096775e-05,s i k i æ i̯ s i,3,V,ACT,PRS,POS,COND,3,SG,,,
siitä,ei sikiäisi,V;ACT;PRS;NEG;COND;3;SG,0.0,7.653548387096775e-05,e i̯ s i k i æ i̯ s i,0,V,ACT,PRS,NEG,COND,3,SG,,,
siitä,olisi siinnyt,V;ACT;PRS;PRF;POS;COND;3;SG,0.0,7.653548387096775e-05,o l i s i s iː nː y t,2,V,ACT,PRS,PRF,POS,COND,3,SG,,
siitä,ei olisi siinnyt,V;ACT;PRS;PRF;NEG;COND;3;SG,0.0,7.653548387096775e-05,e i̯ o l i s i s iː nː y t,1,V,ACT,PRS,PRF,NEG,COND,3,SG,,
siitä,sikiäisimme,V;ACT;PRS;POS;COND;1;PL,0.0,7.653548387096775e-05,s i k i æ i̯ s i mː e,2,V,ACT,PRS,POS,COND,1,PL,,,
siitä,emme sikiäisi,V;ACT;PRS;NEG;COND;1;PL,0.0,7.653548387096775e-05,e mː eˣ s i k i æ i̯ s i,4,V,ACT,PRS,NEG,COND,1,PL,,,
siitä,olisimme siinneet,V;ACT;PRS;PRF;POS;COND;1;PL,0.0,7.653548387096775e-05,o l i s i mː eˣ s iː nː eː t,2,V,ACT,PRS,PRF,POS,COND,1,PL,,
siitä,emme olisi siinneet,V;ACT;PRS;PRF;NEG;COND;1;PL,0.0,7.653548387096775e-05,e mː e o l i s i s iː nː eː t,4,V,ACT,PRS,PRF,NEG,COND,1,PL,,
siitä,sikiäisitte,V;ACT;PRS;POS;COND;2;PL,0.0,7.653548387096775e-05,s i k i æ i̯ s i tː eˣ,1,V,ACT,PRS,POS,COND,2,PL,,,
siitä,ette sikiäisi,V;ACT;PRS;NEG;COND;2;PL,0.0,7.653548387096775e-05,e t e s i k i æ i̯ s i,4,V,ACT,PRS,NEG,COND,2,PL,,,
siitä,olisitte siinneet,V;ACT;PRS;PRF;POS;COND;2;PL,0.0,7.653548387096775e-05,o l i s i tː eˣ s iː nː eː t,0,V,ACT,PRS,PRF,POS,COND,2,PL,,
siitä,ette olisi siinneet,V;ACT;PRS;PRF;NEG;COND;2;PL,0.0,7.653548387096775e-05,e tː e o l i s i s iː nː eː t,3,V,ACT,PRS,PRF,NEG,COND,2,PL,,
siitä,sikiäisivät,V;ACT;PRS;POS;COND;3;PL,0.0,7.653548387096775e-05,s i k i æ i̯ s i ʋ æ t,4,V,ACT,PRS,POS,COND,3,PL,,,
siitä,eivät sikiäisi,V;ACT;PRS;NEG;COND;3;PL,0.0,7.653548387096775e-05,e i̯ ʋ æ t s i k i æ i̯ s i,4,V,ACT,PRS,NEG,COND,3,PL,,,
siitä,olisivat siinneet,V;ACT;PRS;PRF;POS;COND;3;PL,0.0,7.653548387096775e-05,o l i s i ʋ ɑ t s iː nː eː t,3,V,ACT,PRS,PRF,POS,COND,3,PL,,
siitä,eivät olisi siinneet,V;ACT;PRS;PRF;NEG;COND;3;PL,0.0,7.653548387096775e-05,e i̯ ʋ æ t o l i s i s iː nː eː t,0,V,ACT,PRS,PRF,NEG,COND,3,PL,,
siitä,siittäisiin,V;PASS;PRS;POS;COND,0.0,7.653548387096775e-05,s iː tː æ i̯ s iː n,4,V,PASS,PRS,POS,COND,,,,,
siitä,ei siittäisi,V;PASS;PRS;NEG;COND,0.0,7.653548387096775e-05,e i̯ s iː tː æ i̯ s i,2,V,PASS,PRS,NEG,COND,,,,,
siitä,olisi siitty,V;PASS;PRS;PRF;POS;COND,0.0,7.653548387096775e-05,o l i s i s iː tː y,0,V,PASS,PRS,PRF,POS,COND,,,,
siitä,ei olisi siitty,V;PASS;PRS;PRF;NEG;COND,0.0,7.653548387096775e-05,e i̯ o l i s i s iː tː y,1,V,PASS,PRS,PRF,NEG,COND,,,,
siitä,sikiä,V;ACT;PRS;POS;IMP;2;SG,0.0,7.653548387096775e-05,s i k i æ,4,V,ACT,PRS,POS,IMP,2,SG,,,
siitä,älä sikiä,V;ACT;PRS;NEG;IMP;2;SG,0.0,7.653548387096775e-05,æ l æ s i k i æ,0,V,ACT,PRS,NEG,IMP,2,SG,,,
siitä,ole siinnyt,V;ACT;PRS;PRF;POS;IMP;2;SG,0.0,7.653548387096775e-05,o l eˣ s iː nː y t,2,V,ACT,PRS,PRF,POS,IMP,2,SG,,
siitä,älä ole siinnyt,V;ACT;PRS;PRF;NEG;IMP;2;SG,0.0,7.653548387096775e-05,æ l æ o l eˣ s iː nː y t,2,V,ACT,PRS,PRF,NEG,IMP,2,SG,,
siitä,siitköön,V;ACT;PRS;POS;IMP;3;SG,0.0,7.653548387096775e-05,s iː t k øː n,4,V,ACT,PRS,POS,IMP,3,SG,,,
siitä,älköön siitkö,V;ACT;PRS;NEG;IMP;3;SG,0.0,7.653548387096775e-05,æ l k øː n s iː t k ø,1,V,ACT,PRS,NEG,IMP,3,SG,,,
siitä,olkoon siinnyt,V;ACT;PRS;PRF;POS;IMP;3;SG,0.0,7.653548387096775e-05,o l k oː n s iː nː y t,1,V,ACT,PRS,PRF,POS,IMP,3,SG,,
siitä,älköön olko siinnyt,V;ACT;PRS;PRF;NEG;IMP;3;SG,0.0,7.653548387096775e-05,æ l k øː n o l k o s iː nː y t,0,V,ACT,PRS,PRF,NEG,IMP,3,SG,,
siitä,siitkäämme,V;ACT;PRS;POS;IMP;1;PL,0.0,7.653548387096775e-05,s iː t k æː mː eˣ,0,V,ACT,PRS,POS,IMP,1,PL,,,
siitä,älkäämme siitkö,V;ACT;PRS;NEG;IMP;1;PL,0.0,7.653548387096775e-05,æ l k æː mː eˣ s iː t k ø,3,V,ACT,PRS,NEG,IMP,1,PL,,,
siitä,olkaamme siinneet,V;ACT;PRS;PRF;POS;IMP;1;PL,0.0,7.653548387096775e-05,o l k ɑː mː eˣ s iː nː eː t,2,V,ACT,PRS,PRF,POS,IMP,1,PL,,
siitä,älkäämme olko siinneet,V;ACT;PRS;PRF;NEG;IMP;1;PL,0.0,7.653548387096775e-05,æ l k æː mː eˣ o l k o s iː nː eː t,4,V,ACT,PRS,PRF,NEG,IMP,1,PL,,
siitä,siitkää,V;ACT;PRS;POS;IMP;2;PL,0.0,7.653548387096775e-05,s iː t k æːˣ,4,V,ACT,PRS,POS,IMP,2,PL,,,
siitä,älkää siitkö,V;ACT;PRS;NEG;IMP;2;PL,0.0,7.653548387096775e-05,æ l k æː s iː t k ø,3,V,ACT,PRS,NEG,IMP,2,PL,,,
siitä,olkaa siinneet,V;ACT;PRS;PRF;POS;IMP;2;PL,0.0,7.653548387096775e-05,o l k ɑː s iː nː eː t,0,V,ACT,PRS,PRF,POS,IMP,2,PL,,
siitä,älkää olko siinneet,V;ACT;PRS;PRF;NEG;IMP;2;PL,0.0,7.653548387096775e-05,æ l k æː o l k o s iː nː eː t,0,V,ACT,PRS,PRF,NEG,IMP,2,PL,,
siitä,siitkööt,V;ACT;PRS;POS;IMP;3;PL,0.0,7.653548387096775e-05,s iː t k øː t,3,V,ACT,PRS,POS,IMP,3,PL,,,
siitä,älkööt siitkö,V;ACT;PRS;NEG;IMP;3;PL,0.0,7.653548387096775e-05,æ l k øː t s iː t k ø,1,V,ACT,PRS,NEG,IMP,3,PL,,,
siitä,olkoot siinneet,V;ACT;PRS;PRF;POS;IMP;3;PL,0.0,7.653548387096775e-05,o l k oː t s iː nː eː t,1,V,ACT,PRS,PRF,POS,IMP,3,PL,,
siitä,älkööt olko siinneet,V;ACT;PRS;PRF;NEG;IMP;3;PL,0.0,7.653548387096775e-05,æ l k øː t o l k o s iː nː eː t,1,V,ACT,PRS,PRF,NEG,IMP,3,PL,,
siitä,siittäköön,V;PASS;PRS;POS;IMP,0.0,7.653548387096775e-05,s iː tː æ k øː n,3,V,PASS,PRS,POS,IMP,,,,,
siitä,älköön siittäkö,V;PASS;PRS;NEG;IMP,0.0,7.653548387096775e-05,æ l k øː n s iː tː æ k ø,4,V,PASS,PRS,NEG,IMP,,,,,
siitä,olkoon siitty,V;PASS;PRS;PRF;POS;IMP,0.0,7.653548387096775e-05,o l k oː n s iː tː y,1,V,PASS,PRS,PRF,POS,IMP,,,,
siitä,älköön olko siitty,V;PASS;PRS;PRF;NEG;IMP,0.0,7.653548387096775e-05,æ l k øː n o l k o s iː tː y,3,V,PASS,PRS,PRF,NEG,IMP,,,,
siitä,siinnen,V;ACT;PRS;POS;POT;1;SG,0.0,7.653548387096775e-05,s iː nː e n,0,V,ACT,PRS,POS,POT,1,SG,,,
siitä,en siinne,V;ACT;PRS;NEG;POT;1;SG,0.0,7.653548387096775e-05,e n s iː nː eˣ,4,V,ACT,PRS,NEG,POT,1,SG,,,
siitä,lienen siinnyt,V;ACT;PRS;PRF;POS;POT;1;SG,0.0,7.653548387096775e-05,l i e̯ n e n s iː nː y t,3,V,ACT,PRS,PRF,POS,POT,1,SG,,
siitä,en liene siinnyt,V;ACT;PRS;PRF;NEG;POT;1;SG,0.0,7.653548387096775e-05,e n l i e̯ n eˣ s iː nː y t,1,V,ACT,PRS,PRF,NEG,POT,1,SG,,
siitä,siinnet,V;ACT;PRS;POS;POT;2;SG,0.0,7.653548387096775e-05,s iː nː e t,0,V,ACT,PRS,POS,POT,2,SG,,,
siitä,et siinne,V;ACT;PRS;NEG;POT;2;SG,0.0,7.653548387096775e-05,e t s iː nː eˣ,4,V,ACT,PRS,NEG,POT,2,SG,,,
siitä,lienet siinnyt,V;ACT;PRS;PRF;POS;POT;2;SG,0.0,7.653548387096775e-05,l i e̯ n e t s iː nː y t,4,V,ACT,PRS,PRF,POS,POT,2,SG,,
siitä,et liene siinnyt,V;ACT;PRS;PRF;NEG;POT;2;SG,0.0,7.653548387096775e-05,e t l i e̯ n eˣ s iː nː y t,0,V,ACT,PRS,PRF,NEG,POT,2,SG,,
siitä,siinnee,V;ACT;PRS;POS;POT;3;SG,0.0,7.653548387096775e-05,s iː nː eː,1,V,ACT,PRS,POS,POT,3,SG,,,
siitä,ei siinne,V;ACT;PRS;NEG;POT;3;SG,0.0,7.653548387096775e-05,e i̯ s iː nː eˣ,2,V,ACT,PRS,NEG,POT,3,SG,,,
siitä,lienee siinnyt,V;ACT;PRS;PRF;POS;POT;3;SG,0.0,7.653548387096775e-05,l i e̯ n eː s iː nː y t,1,V,ACT,PRS,PRF,POS,POT,3,SG,,
siitä,ei liene siinnyt,V;ACT;PRS;PRF;NEG;POT;3;SG,0.0,7.653548387096775e-05,e i̯ l i e̯ n eˣ s iː nː y t,0,V,ACT,PRS,PRF,NEG,POT,3,SG,,
siitä,siinnemme,V;ACT;PRS;POS;POT;1;PL,0.0,7.653548387096775e-05,s iː nː e mː e,3,V,ACT,PRS,POS,POT,1,PL,,,
siitä,emme siinne,V;ACT;PRS;NEG;POT;1;PL,0.0,7.653548387096775e-05,e mː eˣ s iː nː eˣ,1,V,ACT,PRS,NEG,POT,1,PL,,,
siitä,lienemme siinneet,V;ACT;PRS;PRF;POS;POT;1;PL,0.0,7.653548387096775e-05,l i e̯ n e mː eˣ s iː nː eː t,2,V,ACT,PRS,PRF,POS,POT,1,PL,,
siitä,emme liene siinneet,V;ACT;PRS;PRF;NEG;POT;1;PL,0.0,7.653548387096775e-05,e mː e l i e̯ n eˣ s iː nː eː t,3,V,ACT,PRS,PRF,NEG,POT,1,PL,,
siitä,siinnette,V;ACT;PRS;POS;POT;2;PL,0.0,7.653548387096775e-05,s iː nː e tː eˣ,4,V,ACT,PRS,POS,POT,2,PL,,,
siitä,ette siinne,V;ACT;PRS;NEG;POT;2;PL,0.0,7.653548387096775e-05,e tː e s iː nː eˣ,2,V,ACT,PRS,NEG,POT,2,PL,,,
siitä,lienette siinneet,V;ACT;PRS;PRF;POS;POT;2;PL,0.0,7.653548387096775e-05,l i e̯ n e tː eˣ s iː nː eː t,2,V,ACT,PRS,PRF,POS,POT,2,PL,,
siitä,ette liene siinneet,V;ACT;PRS;PRF;NEG;POT;2;PL,0.0,7.653548387096775e-05,e tː e l i e̯ n eˣ s iː nː eː t,4,V,ACT,PRS,PRF,NEG,POT,2,PL,,
siitä,siinnevät,V;ACT;PRS;POS;POT;3;PL,0.0,7.653548387096775e-05,s iː nː eˣ ʋ æ t,0,V,ACT,PRS,POS,POT,3,PL,,,
siitä,eivät siinne,V;ACT;PRS;NEG;POT;3;PL,0.0,7.653548387096775e-05,e i̯ ʋ æ t s iː nː eˣ,0,V,ACT,PRS,NEG,POT,3,PL,,,
siitä,lienevät siinneet,V;ACT;PRS;PRF;POS;POT;3;PL,0.0,7.653548387096775e-05,l i e̯ n e ʋ æ t s iː nː eː t,0,V,ACT,PRS,PRF,POS,POT,3,PL,,
siitä,eivät liene siinneet,V;ACT;PRS;PRF;NEG;POT;3;PL,0.0,7.653548387096775e-05,e i̯ ʋ æ t l i e̯ n eˣ s iː nː eː t,4,V,ACT,PRS,PRF,NEG,POT,3,PL,,
siitä,siittäneen,V;PASS;PRS;POS;POT,0.0,7.653548387096775e-05,s iː tː æ n eː n,4,V,PASS,PRS,POS,POT,,,,,
siitä,ei siittäne,V;PASS;PRS;NEG;POT,0.0,7.653548387096775e-05,e i̯ s iː tː æ n eˣ,3,V,PASS,PRS,NEG,POT,,,,,
siitä,lienee siitty,V;PASS;PRS;PRF;POS;POT,0.0,7.653548387096775e-05,l i e̯ n eː s iː tː y,0,V,PASS,PRS,PRF,POS,POT,,,,
siitä,ei liene siitty,V;PASS;PRS;PRF;NEG;POT,0.0,7.653548387096775e-05,e i̯ l i e̯ n eˣ s iː tː y,0,V,PASS,PRS,PRF,NEG,POT,,,,
siitä,siitä,V;NFIN;ACT+PASS,0.011846,7.653548387096775e-05,s iː t æ,1,V,NFIN,ACT+PASS,,,,,,,
siitä,siitäkseen,V;NFIN;1;ACT,0.0,7.653548387096775e-05,s iː t æ k s eː n,2,V,NFIN,1,ACT,,,,,,
siitä,siitäkseen,V;NFIN;1;PASS,0.0,7.653548387096775e-05,s iː t æ k s eː n,1,V,NFIN,1,PASS,,,,,,
siitä,siitessä,V;NFIN;2;ACT;IN+ESS,0.0,7.653548387096775e-05,s iː t e sː æ,2,V,NFIN,2,ACT,IN+ESS,,,,,
siitä,siittäessä,V;NFIN;2;PASS;IN+ESS,0.0,7.653548387096775e-05,s iː tː æ e sː æ,3,V,NFIN,2,PASS,IN+ESS,,,,,
siitä,siiten,V;NFIN;2;ACT;INS,3e-06,7.653548387096775e-05,s iː t e n,2,V,NFIN,2,ACT,INS,,,,,
siitä,sikiämässä,V;NFIN;3;ACT;IN+ESS,0.0,7.653548387096775e-05,s i k i æ m æ sː æ,1,V,NFIN,3,ACT,IN+ESS,,,,,
siitä,sikiämästä,V;NFIN;3;ACT;IN+ABL,0.0,7.653548387096775e-05,s i k i æ m æ s t æ,4,V,NFIN,3,ACT,IN+ABL,,,,,
siitä,sikiämään,V;NFIN;3;ACT;IN+ALL,0.0,7.653548387096775e-05,s i k i æ m æː n,4,V,NFIN,3,ACT,IN+ALL,,,,,
siitä,sikiämällä,V;NFIN;3;ACT;AT+ESS,0.0,7.653548387096775e-05,s i k i æ m æ lː æ,2,V,NFIN,3,ACT,AT+ESS,,,,,
siitä,sikiämättä,V;NFIN;3;ACT;PRIV,0.0,7.653548387096775e-05,s i k i æ m æ tː æ,0,V,NFIN,3,ACT,PRIV,,,,,
siitä,sikiämän,V;NFIN;3;ACT;INS,0.0,7.653548387096775e-05,s i k i æ m æ n,1,V,NFIN,3,ACT,INS,,,,,
siitä,siittämän,V;NFIN;3;PASS;INS,0.0,7.653548387096775e-05,s iː tː æ m æ n,4,V,NFIN,3,PASS,INS,,,,,
siitä,sikiäminen,V;NFIN;4;ACT;NOM,2e-06,7.653548387096775e-05,s i k i æ m i n e n,4,V,NFIN,4,ACT,NOM,,,,,
siitä,sikiäminen,V;NFIN;4;PASS;NOM,2e-06,7.653548387096775e-05,s i k i æ m i n e n,1,V,NFIN,4,PASS,NOM,,,,,
